DEPTH,RHOB,DT,GR,AI,AI_REL,PHIE,MD,VP
63.0,,523.3104,4.964,3825646.0,-1178.7623,,63.0,15942651.336
63.15,,523.303,5.6458,3825700.0,-1315.6536,,63.15,15942425.895
63.3,,523.2955,5.6458,3825754.5,-1796.2913,,63.3,15942197.407499999
63.45,,523.2881,5.509,3825808.75,-2225.8171,,63.45,15941971.9665
63.6,,523.2808,5.292,3825862.0,-2225.8171,,63.6,15941749.572
63.75,,523.2734,5.292,3825915.5,-2225.8171,,63.75,15941524.131000001
63.9,,523.266,5.3446,3825970.25,-2225.8171,,63.9,15941298.69
64.05,,523.2587,5.4499,3826023.25,-2225.8171,,64.05,15941076.2955
64.2,,523.2513,5.4499,3826078.0,-2225.8171,,64.2,15940850.854500001
64.35,,523.2438,5.3796,3826132.25,-2225.8171,,64.35,15940622.366999999
64.5,,523.2364,5.2047,3826186.75,-2225.8171,,64.5,15940396.926
64.65,,523.2291,5.2047,3826240.5,-2225.8171,,64.65,15940174.5315
64.8,,523.2217,5.3314,3826294.25,-2225.8171,,64.8,15939949.0905
64.95,,523.2145,5.7632,3826347.0,-2225.8171,,64.95,15939729.742500002
65.1,,523.2071,5.8674,3826400.75,-2225.8171,,65.1,15939504.301499998
65.25,,523.1996,5.9982,3826455.25,-2225.8171,,65.25,15939275.814000001
65.4,,523.1923,6.5667,3826509.0,-2225.8171,,65.4,15939053.4195
65.55,,523.1848,6.6535,3826563.75,-2225.8171,,65.55,15938824.932
65.7,,523.1774,6.4195,3826618.25,-2225.8171,,65.7,15938599.491
65.85,,523.17,5.6942,3826672.25,-2225.8171,,65.85,15938374.049999999
66.0,,523.1628,5.5358,3826724.75,-2225.8171,,66.0,15938154.701999998
66.15,,523.1555,4.2013,3826778.75,-2225.8171,,66.15,15937932.3075
66.3,,523.148,3.2802,3826833.0,-2225.8171,,66.3,15937703.82
66.45,,523.1406,3.2297,3826887.75,-2225.8171,,66.45,15937478.378999999
66.6,,523.1331,2.7027,3826941.75,-2225.8171,,66.6,15937249.8915
66.75,,523.1257,3.1111,3826996.0,-2225.8171,,66.75,15937024.450500002
66.9,,523.1183,3.1111,3827050.25,-2225.8171,,66.9,15936799.009499999
67.05,,523.1109,3.1111,3827104.5,-2225.8171,,67.05,15936573.568500001
67.2,,523.1037,3.8857,3827157.25,-2448.5278,,67.2,15936354.2205
67.35,,523.0962,4.5569,3827212.5,-2482.2937,,67.35,15936125.733
67.5,,523.0888,4.566,3827266.25,-2482.7515,,67.5,15935900.292
67.65,,523.0814,4.5897,3827320.5,-2482.7515,,67.65,15935674.851000002
67.8,,523.074,4.8479,3827374.75,-2482.7515,,67.8,15935449.409999998
67.95,,523.0665,4.59,3827429.25,-2482.7515,,67.95,15935220.922500001
68.1,,523.0591,4.2151,3827483.25,-2482.7515,,68.1,15934995.481499998
68.25,,523.052,4.179,3827535.25,-2482.7515,,68.25,15934779.180000002
68.4,,523.0446,3.7766,3827589.75,-2482.7515,,68.4,15934553.738999998
68.55,,523.0372,3.7182,3827644.0,-2482.7515,,68.55,15934328.298
68.7,,523.0298,3.6827,3827698.25,-2482.7515,,68.7,15934102.857
68.85,,523.0223,3.7109,3827753.25,-2482.7515,,68.85,15933874.3695
69.0,,523.015,3.8176,3827807.0,-2482.7515,,69.0,15933651.975
69.15,,523.0075,4.0186,3827861.25,-2482.7515,,69.15,15933423.4875
69.3,,523.0004,4.0648,3827913.5,-2482.7515,,69.3,15933207.186
69.45,,522.993,4.6305,3827967.75,-2482.7515,,69.45,15932981.745000001
69.6,,522.9855,4.8091,3828022.25,-2482.7515,,69.6,15932753.2575
69.75,,522.9781,4.8091,3828076.25,-2482.7515,,69.75,15932527.8165
69.9,,522.9707,4.8091,3828130.75,-2482.7515,,69.9,15932302.3755
70.05,,522.9633,5.0374,3828185.0,-2482.7515,,70.05,15932076.9345
70.2,,522.9561,4.9406,3828237.75,-2482.7515,,70.2,15931857.5865
70.35,,522.9487,4.8476,3828291.75,-2482.7515,,70.35,15931632.1455
70.5,,522.9413,5.5882,3828346.0,-2482.7515,,70.5,15931406.704499999
70.65,,522.9339,6.1553,3828400.25,-2482.7515,,70.65,15931181.2635
70.8,,522.9265,7.2707,3828454.25,-2482.7515,,70.8,15930955.822500002
70.95,,522.919,7.9146,3828509.0,-2520.6702,,70.95,15930727.334999999
